"","puntuacion_media","puntuacion_media_normal"
"Cluster 1",7.42784992784993,2.15259246081164
"Cluster 2",6.83807021362605,1.54553738901097
"Cluster 3",6.76535245515222,2.03039529328775
"Cluster 4",6.96263669731714,1.19429843106222
