nombre;distancia_P_Ayuntamiento;distancia_CAC;distancia_Bioparc;distancia_Estacion;distancia_Malvarrosa;distancia_Torres;distancia_Universitat;distancia_Puerto;distancia_Albufera
TORMOS;2,17549E+14;4,37165E+14;2,22207E+14;2,69238E+14;4,45162E+14;1,15477E+14;3,37326E+14;6,88299E+14;1,77909E+14
SANT ANTONI;2,11017E+13;4,06971E+14;2,64699E+14;2,63374E+14;3,91845E+14;1,07026E+14;2,87856E+14;6,42951E+14;1,76218E+14
BENIMACLET;2,18734E+14;3,28704E+14;3,62948E+14;2,62133E+14;2,68619E+14;1,52713E+14;1,63963E+14;5,24292E+14;1,69885E+14
MARXALENES;1,87925E+14;4,23321E+14;1,76253E+14;2,37463E+13;4,71901E+14;9,6642E+14;3,51097E+14;6,91915E+14;1,74989E+14
EXPOSICIO;1,28696E+14;2,46301E+13;3,19612E+14;1,65299E+14;3,14635E+14;1,09845E+14;1,65101E+14;4,93159E+14;1,61052E+14
BETERO;3,4506E+14;2,37828E+14;5,58969E+14;3,55816E+14;1,41815E+14;3,49618E+14;8,06211E+14;2,86672E+14;1,54593E+14
CABANYAL-CANYAMELAR;4,04748E+14;2,57825E+14;6,23734E+14;4,09964E+14;1,59539E+14;4,16985E+14;1,50496E+14;2,23518E+14;1,51149E+14
MESTALLA;1,50478E+13;1,78986E+14;3,69121E+14;1,66384E+14;2,9587E+14;1,72636E+14;1,32723E+14;4,27339E+14;1,54784E+14
EL PILAR;6,35123E+14;3,15946E+14;1,68E+13;1,01612E+14;4,77521E+14;8,74782E+14;3,25594E+14;6,18993E+14;1,61094E+14
EL PLA DEL REMEI;6,38002E+13;2,00458E+14;2,91653E+14;7,88866E+14;3,83765E+14;1,28673E+14;2,21916E+14;4,95211E+14;1,53998E+14
ALBORS;2,02868E+14;1,46453E+14;4,26323E+14;2,09068E+14;2,66115E+14;2,31425E+14;1,04285E+14;3,68479E+14;1,51487E+14
ARRANCAPINS;9,41068E+14;2,79974E+14;2,1091E+13;6,61602E+14;5,26154E+14;1,84194E+14;3,64141E+14;6,03259E+14;1,51717E+14
EN CORTS;1,63078E+14;1,50026E+14;3,5575E+14;1,15001E+14;4,78077E+14;2,64629E+14;3,16295E+14;4,76423E+14;1,39971E+14
POBLE NOU;4,08603E+14;6,25152E+14;3,3638E+14;4,5947E+14;5,53829E+14;3,07737E+14;4,89284E+14;8,50554E+14;1,97101E+13
LA TORRE;4,27304E+13;4,05654E+14;5,05722E+14;3,76565E+12;7,75094E+14;5,29123E+14;6,17229E+14;6,77543E+14;1,21346E+14
SANT FRANCESC;3,15184E+14;2,52376E+14;2,30547E+14;5,49042E+14;4,35847E+14;1,02364E+14;2,77433E+14;5,56105E+13;1,56433E+14
PENYA-ROJA;2,56746E+14;5,35234E+14;4,85877E+14;2,40302E+14;3,2484E+14;3,16075E+14;1,86335E+12;3,03238E+14;1,40884E+14
ELS ORRIOLS;2,77207E+14;4,55066E+14;3,20787E+14;3,2925E+14;3,7962E+14;1,74553E+14;3,03415E+14;6,64754E+14;1,81873E+14
FAVARA;2,39688E+14;3,53446E+14;2,75818E+14;2,00785E+14;6,58691E+14;3,27673E+14;4,94593E+14;6,77507E+14;1,43644E+13
CAMI REAL;3,23544E+14;3,7817E+14;3,72067E+13;2,77849E+13;7,18078E+14;4,18635E+14;5,54623E+14;6,87727E+14;1,34743E+14
LA FONTETA S.LLUIS;2,95853E+13;1,69883E+14;4,74527E+14;2,4689E+14;5,47098E+14;3,9692E+13;3,97792E+14;4,47559E+13;1,26703E+14
LA PUNTA;3,91649E+14;1,59258E+14;6,00843E+14;3,53013E+14;4,98048E+13;4,78107E+14;3,80033E+14;3,08426E+14;1,2123E+14
BENIMAMET;5,2635E+14;7,78808E+14;3,16423E+14;5,60029E+14;8,31993E+14;4,6723E+14;7,26543E+14;1,06712E+13;2,01453E+14
SANT LLORENS;3,16446E+14;4,62596E+14;3,84392E+14;3,66743E+14;3,32019E+13;2,20176E+14;2,81409E+14;6,41243E+14;1,83236E+14
CIUTAT FALLERA;3,68171E+14;6,07268E+14;2,44782E+14;4,14527E+14;6,03119E+14;2,80391E+14;5,11313E+14;8,65214E+14;1,92311E+14
NOU MOLES;1,92519E+14;4,25101E+14;7,70405E+14;2,00571E+14;6,18977E+14;2,14967E+14;4,67196E+14;7,43787E+14;1,63206E+14
LA LLUM;3,16659E+14;5,29607E+14;1,53159E+14;3,14307E+14;7,48128E+14;3,43623E+14;5,9483E+14;8,54622E+14;1,64422E+14
LA MALVA-ROSA;4,25682E+14;3,46898E+14;6,22236E+14;4,45194E+14;3,8012E+14;4,07196E+14;1,46254E+14;3,31433E+14;1,63299E+14
EL CALVARI;2,25198E+14;4,71958E+14;1,33582E+14;2,69316E+14;5,35654E+13;1,51408E+14;4,14449E+14;7,51104E+14;1,77652E+14
LES TENDETES;1,6895E+14;4,14466E+14;1,40777E+14;2,14968E+14;4,94887E+14;9,62059E+14;3,65297E+14;6,95875E+14;1,72566E+14
CIUTAT UNIVERSITARIA;1,79831E+14;2,61154E+14;3,6242E+14;2,14965E+13;2,66273E+14;1,47811E+14;1,2633E+14;4,74193E+14;1,63121E+14
EL MERCAT;4,88647E+14;2,979E+14;1,94652E+14;9,78035E+14;4,47122E+13;6,62302E+14;2,9553E+14;5,94468E+14;1,61013E+14
LA ROQUETA;4,94819E+14;2,57783E+14;2,20328E+14;3,20176E+14;4,82065E+13;1,46958E+14;3,20879E+14;5,75028E+14;1,53344E+14
LA GRAN VIA;1,04561E+14;1,51894E+14;3,33833E+14;9,61526E+14;3,75548E+14;1,76784E+14;2,11347E+14;4,53423E+14;1,49665E+13
CAMI FONDO;2,06198E+14;1,05392E+13;4,3469E+14;2,01898E+14;2,95666E+14;2,52026E+14;1,39177E+13;3,52713E+14;1,47455E+14
