"","distrito","barrio","precio","distancia_P_Ayuntamiento","distancia_CAC","distancia_Bioparc","distancia_Estacion","distancia_Malvarrosa","distancia_Torres","distancia_UV","distancia_Puerto","distancia_Albufera","distancia_Viveros","distancia_UPV","distancia_Mestalla","codbarrio","coddistrito","emt","metrovlc","renta_hogar","precio_barrio","cluster"
"1","ALGIROS","CIUTAT JARDI",-0.560615158293405,-0.0408058685219446,-0.546466913836904,0.277862302265668,-0.024133989295666,-0.969618879467253,-0.0626028353750013,-1.0515251705522,-0.908102525383191,0.0788037938947116,-0.262708265808188,-0.88310344979477,-0.63682616232975,-0.510812177921168,0.815274010532751,-0.540965822224801,-0.551673879938784,-0.104317013912131,-0.741061538289979,2
"2","QUATRE CARRERES","EN CORTS",-0.672402626913745,-0.393364849318729,-0.730462806244816,-0.108303231036723,-0.598225114390191,-0.00201982491671307,-0.0996172987994878,-0.12551564932911,-0.358912304060009,-0.443402932388928,-0.0508531334434647,-0.0219189404859484,-0.199547263353553,-0.510812177921168,0.238169935661253,-0.118911991882232,-0.551673879938784,-0.672638283007301,-0.761216952157458,2
"3","EXTRAMURS","EL BOTANIC",-0.753800808074524,-0.574824239669139,0.0606938804294345,-0.790537316077493,-0.493720975247402,0.079704425352369,-0.628737817808239,0.00812579336565294,0.373419605841938,0.437400934311976,-0.432026119240842,-0.0463684484922323,-0.18735098297302,-1.14181545652967,-1.10840623903891,-0.751992737396086,-0.551673879938784,0.229251719467458,-0.847640072731537,2
"4","LA SAIDIA","MARXALENES",-0.864427262631891,-0.311131609504665,0.295383005319015,-0.649104320908832,-0.178087286459595,-0.0227937264854763,-0.621174662027117,-0.00958589846571835,0.496567352663764,0.78825235529912,-0.525159206310252,-0.14282083403723,-0.164927763928039,-1.14181545652967,-0.723670189124577,-0.224425449467874,0.838544297506952,-0.694347173235548,-1.13040577106241,2
"5","CIUTAT VELLA","LA SEU",-0.893475505410893,-0.683230472506056,-0.169504318186875,-0.513436846923926,-0.554123614672455,-0.232570913671456,-0.82684334580086,-0.301568710285069,0.0520530971828151,0.37859676520482,-0.692487686005895,-0.348606267528354,-0.49429216156136,-1.14181545652967,-1.49314228895324,-1.17404656773866,-0.551673879938784,0.720461753693086,-0.870567381094471,2
"6","ALGIROS","L'AMISTAT",-0.90904756877862,-0.207275001295626,-0.567212956993942,0.121164914672988,-0.184120394620782,-0.843147323599272,-0.221743170452685,-0.966381105412239,-0.732654073530823,0.117724133485658,-0.411625015808218,-0.851348468312537,-0.806483990838466,0.120191100687334,0.815274010532751,-0.751992737396086,0.143435208784084,-0.384084813774905,-1.13514998010766,2
"7","ALGIROS","LA VEGA BAIXA",-0.939725967536539,-0.147827383119288,-0.411563732912361,0.137198392690318,-0.0976589506436182,-0.931575289605014,-0.224375369037677,-1.01903747099217,-0.65486364913582,0.257543827250513,-0.447679316524962,-0.977375768466938,-0.785317726706244,0.751194379295836,0.815274010532751,-1.06853311015301,-0.551673879938784,0.694739517069183,-0.930470495823605,2
"8","CIUTAT VELLA","EL CARME",-1.01778814687756,-0.580271662272935,0.00833439926108851,-0.640364991270361,-0.455241775372724,-0.105784891621236,-0.809217559667952,-0.154492584734245,0.249181228254462,0.503371722024735,-0.617440068731427,-0.228701338228826,-0.340898016973103,0.120191100687334,-1.49314228895324,-1.17404656773866,-0.551673879938784,-0.275923287427385,-0.999804969327802,2
"9","LA SAIDIA","TORMOS",-1.02857791038238,-0.213085000254153,0.347347212417378,-0.510650878128652,-0.0690757489580254,-0.112732745444226,-0.562697205962629,-0.0554605552024906,0.482212670310556,0.890960415449423,-0.552804304637568,-0.220687999429023,-0.178897967717782,0.751194379295836,-0.723670189124577,-0.96301965256737,-0.551673879938784,-0.807511268362485,-1.43307938180874,2
"10","LA SAIDIA","SANT ANTONI",-1.0837128412486,-0.234706063993799,0.234012172096367,-0.382627998514555,-0.0891911766474919,-0.29206937975857,-0.588934908710089,-0.220251571713061,0.302186627918299,0.831462699832478,-0.678666037514578,-0.393656254905533,-0.31990271565698,1.38219765790434,-0.723670189124577,-1.06853311015301,0.143435208784084,-0.0418973269614151,-0.933020477799266,2
"11","CAMPANAR","EL CALVARI",-1.09858889273149,-0.187769421522729,0.477947662715735,-0.777665275627349,-0.0688052622083199,0.191645938733812,-0.451141129221974,0.201445832124877,0.731538583038853,0.881911809392277,-0.326369948458927,0.0666139491418981,0.038467670685164,0.120191100687334,-0.916038214081743,-1.17404656773866,-0.551673879938784,-1.09867402641359,-1.1581777538669,2
"12","CAMINS AL GRAU","AIORA",-1.27197363179036,0.0162873031401438,-0.747989177787399,0.363760667525409,-0.00955717813741106,-0.825950629739494,0.0631236919972752,-0.819175831709182,-1.1246041361173,-0.168157037774279,-0.100093288924835,-0.657859764524632,-0.48194738152075,-1.14181545652967,0.622905985575585,-0.751992737396086,0.838544297506952,-0.504437340045376,-1.15237948260673,2
"13","BENICALAP","BENICALAP",-1.31491089868194,0.0153050762378359,0.685475929266485,-0.619558276926457,0.14979173975437,0.242246024799296,-0.297667492180865,0.303253902114936,0.897900887347804,1.1147825677732,-0.223183021165852,0.12985939533665,0.167708484627565,-1.14181545652967,1.39237808540425,2.41341099017318,2.92387156367556,-0.529018575334164,-1.11152337996421,2
"14","POBLATS MARITIMS","NATZARET",-1.44969649715451,0.582725873025192,-0.515293932884437,0.881746398809014,0.493190946922172,-0.225748271339524,0.699492111087243,-0.0476898283508146,-1.63686387234931,-0.933847643233721,0.593988842153713,0.0853651318819354,0.265068545772199,1.38219765790434,0.430537960618419,-0.435452364639159,-0.551673879938784,-1.09247506311842,-1.51693613257306,2
"15","ALGIROS","LA CARRASCA",-1.4647268097965,0.139795870481831,-0.174217963714754,0.367436706277755,0.206058466622711,-1.22364834547741,0.00542370574742567,-0.97098932061999,-0.714295272769209,0.401556975904473,-0.244116854968012,-1.16343139335101,-0.495635707024144,1.38219765790434,0.815274010532751,0.197628380874695,2.22876247495269,0.809639046998401,-1.3066259070027,2
"16","RASCANYA","SANT LLORENS",-1.64130430451112,0.114228907768561,0.442804185861361,-0.0220087550542363,0.265440367466079,-0.493299591675675,-0.237632696904463,-0.241725690146692,0.295407000528856,1.0783156083938,-0.437667382634036,-0.514935131805391,-0.192331612155379,0.120191100687334,1.20001006044708,-0.646479279810444,0.838544297506952,1.02990706666165,-1.67130194217508,2
"17","JESUS","SANT MARCEL.LI",-2.21871397455603,0.0649292032268257,-0.0431479603566174,-0.0344939648060971,-0.125984251548701,0.67736851720181,0.324519484382856,0.544832773474594,0.292317794083898,-0.687010258906492,0.455398289543158,0.625736005077881,0.439914933571563,0.751194379295836,0.045801910704087,-0.646479279810444,-0.551673879938784,-0.877993976866994,-2.17899568981932,2
