Codigo_Ciudad;Codigo_Distrito;Codigo_Barrio;Codigo_Seccion;Nombre_Ciudad;Nombre_Distrito;Nombre_Barrio;Codigo;X2022_persona;X2021_persona;X2020_persona;X2019_persona;X2018_persona;X2017_persona;X2016_persona;X2015_persona;X2022_hogar;X2021_hogar;X2020_hogar;X2019_hogar;X2018_hogar;X2017_hogar;X2016_hogar;X2015_hogar;X2022_consumo;X2021_consumo;X2020_consumo;X2019_consumo;X2018_consumo;X2017_consumo;X2016_consumo;X2015_consumo;X2022_bruta_persona;X2021_bruta_persona;X2020_bruta_persona;X2019_bruta_persona;X2018_bruta_persona;X2017_bruta_persona;X2016_bruta_persona;X2015_bruta_persona;X2022_bruta_hogar;X2021_bruta_hogar;X2020_bruta_hogar;X2019_bruta_hogar;X2018_bruta_hogar;X2017_bruta_hogar;X2016_bruta_hogar;X2015_bruta_hogar
46250;3;3;17;València;Distrito 03;La Petxina;4625003017 València sección 03017;16912;16198;15695;15561;14867;14249;13115;12506;38599;36999;35851;35688;33959;32419;31081;29107;24494;23435;22727;22295;21477;20605;19072;18214;22050;22050;20650;19950;18550;17150;16450;16450;21371;20168;19484;19198;18334;17562;15982;15122
46250;3;3;18;València;Distrito 03;La Petxina;4625003018 València sección 03018;17653;16466;16356;16603;15161;14672;13562;13371;40173;37808;37316;38132;35721;34358;31633;30632;25863;24367;24192;24621;22463;21521;19726;19362;22750;20650;22050;22050;19950;19950;18550;17850;22345;20768;20374;20771;18910;18057;16721;16407
46250;3;3;19;València;Distrito 03;La Petxina;4625003019 València sección 03019;19002;17427;16634;16208;15932;14865;13903;14473;45598;42086;40536;40012;39971;36327;33655;34431;28367;25714;24825;24804;24566;22563;21383;21701;25550;22750;22750;22050;20650;19950;19600;19250;25026;22406;21183;20615;20458;18859;17697;17975
46250;3;3;20;València;Distrito 03;La Petxina;4625003020 València sección 03020;19364;18775;18277;17895;16658;15429;15265;14634;46382;45552;44495;44592;41974;39298;38860;37982;28539;27656;26830;26442;24715;23106;22904;21814;26250;25550;24150;24150;22050;21350;20650;19950;25156;24102;23246;22656;21111;19756;19364;18209
46250;3;3;21;València;Distrito 03;La Petxina;4625003021 València sección 03021;15622;14775;14232;13808;13712;12862;12373;12115;39040;36629;35000;34032;33414;31078;30342;30072;23360;21809;20969;20909;20517;19207;18287;18047;21350;19250;18550;17850;17850;17150;16450;16450;19498;18484;17535;17025;17026;15765;15043;14668
46250;3;3;23;València;Distrito 03;La Petxina;4625003023 València sección 03023;19670;18720;17949;17914;16634;15491;15758;15623;50118;47443;45806;46201;42712;40361;39906;39949;29472;28122;26850;27063;24963;23792;23387;23344;26950;25550;24150;23450;22050;21350;19950;20650;25309;24012;22670;22599;21010;19865;19653;19414
46250;3;3;25;València;Distrito 03;La Petxina;4625003025 València sección 03025;16785;16630;15731;15584;14989;13387;13239;12787;40200;40140;38562;38922;37309;33140;33114;32653;24831;24741;23828;23505;22964;20246;20158;19492;22050;21350;20650;19950;19950;18550;18550;17850;21285;20938;19717;19398;18716;16577;16289;15582
46250;3;3;26;València;Distrito 03;La Petxina;4625003026 València sección 03026;17939;16478;15936;15608;14715;14049;13696;13233;41881;39178;38300;37645;35441;34519;33842;32420;26207;24196;23507;23228;21946;21071;20522;19651;22750;22050;21350;21350;20650;19250;18550;17850;22452;20233;19461;18980;17927;17077;16586;16006
46250;3;3;27;València;Distrito 03;La Petxina;4625003027 València sección 03027;18178;17488;16975;17140;16155;15404;15140;14817;46897;44697;43694;44980;42723;40514;39924;39268;27643;26379;25425;25970;24418;23286;22854;22161;25550;24150;22750;23450;22050;21350;20650;19950;22997;22088;21292;21645;20276;19249;18852;18245
46250;3;3;29;València;Distrito 03;La Petxina;4625003029 València sección 03029;17149;16115;18940;16755;17836;15790;13991;13428;40765;38439;45667;40464;43098;38762;34588;34191;25453;23809;29666;24992;27323;24199;21052;20193;22050;19950;19250;19250;18550;17850;16450;14350;21815;20521;24537;21511;22866;20243;17652;16677
