Zona,2022_persona,2021_persona,2020_persona,2019_persona,2018_persona,2017_persona,2016_persona,2015_persona,2022_hogar,2021_hogar,2020_hogar,2019_hogar,2018_hogar,2017_hogar,2016_hogar,2015_hogar,2022_consumo,2021_consumo,2020_consumo,2019_consumo,2018_consumo,2017_consumo,2016_consumo,2015_consumo,2022_bruta_persona,2021_bruta_persona,2020_bruta_persona,2019_bruta_persona,2018_bruta_persona,2017_bruta_persona,2016_bruta_persona,2015_bruta_persona,2022_bruta_hogar,2021_bruta_hogar,2020_bruta_hogar,2019_bruta_hogar,2018_bruta_hogar,2017_bruta_hogar,2016_bruta_hogar,2015_bruta_hogar
4602601 Alfarp distrito 01,12612,11898,11444,11194,10839,10194,9688,9460,31033,29688,28657,28400,27751,25620,24928,24174,18945,17844,17197,17058,16457,15381,14676,14322,17150,16450,16450,15750,15050,14350,13650,12950,14870,13924,13288,12970,12487,11796,11194,10891
4602601001 Alfarp sección 01001,12612,11898,11444,11194,10839,10194,9688,9460,31033,29688,28657,28400,27751,25620,24928,24174,18945,17844,17197,17058,16457,15381,14676,14322,17150,16450,16450,15750,15050,14350,13650,12950,14870,13924,13288,12970,12487,11796,11194,10891
46027 Alfarrasí,13102,10864,11610,10965,10554,9917,9570,8824,33336,28149,27859,26633,26298,25379,24371,22541,19754,17981,17108,16202,15756,14955,14371,13662,17150,16450,15050,15050,14350,13650,13650,12250,15581,14081,13554,12758,12297,11529,11080,10613
4602701 Alfarrasí distrito 01,13102,10864,11610,10965,10554,9917,9570,8824,33336,28149,27859,26633,26298,25379,24371,22541,19754,17981,17108,16202,15756,14955,14371,13662,17150,16450,15050,15050,14350,13650,13650,12250,15581,14081,13554,12758,12297,11529,11080,10613
4602701001 Alfarrasí sección 01001,13102,10864,11610,10965,10554,9917,9570,8824,33336,28149,27859,26633,26298,25379,24371,22541,19754,17981,17108,16202,15756,14955,14371,13662,17150,16450,15050,15050,14350,13650,13650,12250,15581,14081,13554,12758,12297,11529,11080,10613
46028 Algar de Palància,13711,13649,13123,12042,12112,11664,10773,10491,30776,29747,28942,26716,27018,25901,23816,23334,19483,19646,18622,16803,17045,16534,15251,14896,17150,17150,16450,15050,15050,13650,13650,12950,16055,16294,15395,14172,14375,13736,12685,12347
4602801 Algar de Palancia distrito 01,13711,13649,13123,12042,12112,11664,10773,10491,30776,29747,28942,26716,27018,25901,23816,23334,19483,19646,18622,16803,17045,16534,15251,14896,17150,17150,16450,15050,15050,13650,13650,12950,16055,16294,15395,14172,14375,13736,12685,12347
4602801001 Algar de Palancia sección 01001,13711,13649,13123,12042,12112,11664,10773,10491,30776,29747,28942,26716,27018,25901,23816,23334,19483,19646,18622,16803,17045,16534,15251,14896,17150,17150,16450,15050,15050,13650,13650,12950,16055,16294,15395,14172,14375,13736,12685,12347
46029 Algemesí,12508,11685,11511,11136,10483,10075,9694,9400,31366,29372,29023,28373,26747,25776,24981,24200,18583,17431,17169,16760,15743,15122,14603,14065,16450,15750,15050,15050,14350,13650,12950,12250,14844,13851,13550,13110,12272,11757,11325,10925
4602901 Algemesí distrito 01,13421,12445,13216,12368,11265,11180,10727,10402,31425,29427,31157,29576,27253,26971,26360,25313,19439,18259,19401,18244,16580,16581,16027,15378,17150,15750,15050,15050,14350,14350,13650,12950,16172,15045,16168,14735,13434,13218,12650,12231
4602901001 Algemesí sección 01001,14934,13896,14392,13972,12690,12421,12025,11525,34408,32435,33440,32887,29993,29894,28841,27704,21384,20030,20850,20508,18525,18327,17838,16950,17850,16450,16450,15750,15050,15050,14350,14350,18307,16997,17647,16889,15428,14908,14396,13736
4602901004 Algemesí sección 01004,12302,11363,12349,11194,10225,10237,9775,9543,29155,27133,29432,27083,25170,24742,24462,23443,17995,16933,18331,16586,15156,15249,14693,14176,16450,15050,14350,15050,13650,13650,12950,12250,14593,13589,15078,13157,11978,11935,11370,11080
4602902 Algemesí distrito 02,12375,11766,11360,10782,10513,10033,9784,9405,30464,28983,28312,27113,26229,24896,24380,23780,18170,17280,16833,16466,15597,14775,14436,13837,15750,15750,14350,14350,13650,12950,12950,12250,14530,13766,13217,12898,12215,11618,11324,10877
4602902001 Algemesí sección 02001,16670,15876,15225,15051,14199,13606,13463,12650,40374,37910,37712,36396,34368,32357,32302,30953,24613,23038,22410,22079,20749,19810,19938,18689,21350,20650,19950,19250,19250,17850,17850,16450,20347,19354,18438,18053,17058,16268,16196,15206
4602902002 Algemesí sección 02002,11863,11456,11063,10951,9946,9670,9683,9174,27809,27385,26415,26465,24455,23669,24275,23294,17328,16867,16221,16114,14939,14330,14366,13563,16100,15750,15050,14350,12950,12950,12950,12250,13702,13176,12584,12469,11331,11016,11037,10439
4602902003 Algemesí sección 02003,13627,13011,12376,10510,11874,11254,11009,10432,30799,29409,28732,25041,27865,26029,25393,24680,19736,19164,18296,17810,17916,16759,16093,15165,18550,17850,16450,16450,16450,14350,13650,12950,16305,15486,14627,14320,14038,13242,12936,12257
4602902004 Algemesí sección 02004,10202,9630,9347,8988,8555,8145,7765,7665,26915,25374,24616,24039,22416,21422,20362,20267,15102,14217,13977,13524,12623,11973,11472,11309,12950,12950,12950,12950,11550,10850,10850,10850,11604,10917,10575,10185,9687,9201,8721,8607
4602903 Algemesí distrito 03,12939,12054,11632,11317,10705,10166,9772,9440,32477,30238,29384,28923,27477,26110,25150,24261,19425,18040,17437,17133,16260,15429,14794,14275,17850,16450,15750,15750,15050,14350,13650,12950,15444,14266,13666,13280,12516,11851,11360,10949
4602903001 Algemesí sección 03001,13685,12745,12337,11878,11033,10520,10276,9956,28849,26438,26091,26422,24842,23398,22293,21923,19270,17719,17362,16898,16211,14981,14722,14290,17850,15050,15750,15750,15050,13650,12950,12950,16011,14746,14140,13572,12582,11977,11681,11294
4602903002 Algemesí sección 03002,11981,11227,11118,10871,10293,9868,9378,9109,29803,27204,26662,26530,25377,24509,23081,21894,18169,16809,16602,16383,15590,14920,14038,13509,17150,15750,15750,15750,14350,13650,12950,12950,14026,13090,12913,12590,11889,11351,10753,10399
4602903003 Algemesí sección 03003,14664,13566,13063,12397,11665,10974,10668,10288,35074,33074,32601,31210,29163,27981,27054,26600,21353,19767,19069,18382,17369,16349,15794,15194,18550,17150,17150,16450,15750,14350,14350,13650,17616,16223,15499,14676,13752,12833,12468,11972
4602903004 Algemesí sección 03004,13399,12292,11696,11306,10858,10317,10004,9824,31823,29296,28571,28278,27400,26377,25109,24375,19841,18266,17351,16959,16300,15624,15116,14834,18550,17150,16450,16450,15750,15050,14350,13650,15734,14447,13580,13140,12628,12011,11576,11358
4602903005 Algemesí sección 03005,11022,10414,10057,9886,9258,8692,8167,7909,29337,27572,26820,26113,24723,23469,22280,21495,16697,15761,15215,15089,14122,13236,12554,12097,16100,15050,14350,14350,13650,12250,11550,10850,12759,12026,11562,11397,10628,9976,9346,8977
4602903006 Algemesí sección 03006,12597,11659,11303,10824,10253,9790,9523,8924,32012,29761,29197,28612,26840,25638,24955,23681,18839,17507,17134,16526,15744,14984,14484,13694,17150,15750,15750,15050,14350,13650,12950,12250,14935,13798,13240,12693,11958,11396,11084,10404
4602903007 Algemesí sección 03007,14540,13769,13416,13631,13405,12648,12004,11826,35564,33894,33649,33539,32386,30522,29785,28674,21881,20431,19851,20363,19802,18640,17770,17402,18550,17850,17150,17150,16450,15750,15750,15050,18316,16805,16190,16300,16054,15149,14323,14007
