Zona,2022_persona,2021_persona,2020_persona,2019_persona,2018_persona,2017_persona,2016_persona,2015_persona,2022_hogar,2021_hogar,2020_hogar,2019_hogar,2018_hogar,2017_hogar,2016_hogar,2015_hogar,2022_consumo,2021_consumo,2020_consumo,2019_consumo,2018_consumo,2017_consumo,2016_consumo,2015_consumo,2022_bruta_persona,2021_bruta_persona,2020_bruta_persona,2019_bruta_persona,2018_bruta_persona,2017_bruta_persona,2016_bruta_persona,2015_bruta_persona,2022_bruta_hogar,2021_bruta_hogar,2020_bruta_hogar,2019_bruta_hogar,2018_bruta_hogar,2017_bruta_hogar,2016_bruta_hogar,2015_bruta_hogar
46001 Ademuz,11574,11200,10467,10176,9785,8739,8470,8280,25942,25662,24164,23610,22739,20715,20748,20710,16471,16071,14976,14780,14227,12625,12286,12193,13450,13086,11954,11646,11225,10011,9623,9450,30148,29986,27596,27019,26087,23728,23570,23636
4600101 Ademuz distrito 01,11574,11200,10467,10176,9785,8739,8470,8280,25942,25662,24164,23610,22739,20715,20748,20710,16471,16071,14976,14780,14227,12625,12286,12193,13450,13086,11954,11646,11225,10011,9623,9450,30148,29986,27596,27019,26087,23728,23570,23636
4600101001 Ademuz sección 01001,11574,11200,10467,10176,9785,8739,8470,8280,25942,25662,24164,23610,22739,20715,20748,20710,16471,16071,14976,14780,14227,12625,12286,12193,13450,13086,11954,11646,11225,10011,9623,9450,30148,29986,27596,27019,26087,23728,23570,23636
46002 Ador,12267,11573,11010,10613,10588,10233,9519,9345,28814,27242,26612,26147,25111,24006,22941,22491,18004,16988,16291,15719,15624,14885,14149,13716,14445,13540,12804,12319,12242,11767,10903,10665,33929,31872,30948,30351,29033,27606,26277,25668
4600201 Ador distrito 01,12267,11573,11010,10613,10588,10233,9519,9345,28814,27242,26612,26147,25111,24006,22941,22491,18004,16988,16291,15719,15624,14885,14149,13716,14445,13540,12804,12319,12242,11767,10903,10665,33929,31872,30948,30351,29033,27606,26277,25668
4600201001 Ador sección 01001,12267,11573,11010,10613,10588,10233,9519,9345,28814,27242,26612,26147,25111,24006,22941,22491,18004,16988,16291,15719,15624,14885,14149,13716,14445,13540,12804,12319,12242,11767,10903,10665,33929,31872,30948,30351,29033,27606,26277,25668
46003 Atzeneta d'Albaida,11976,11776,11193,10721,10213,9567,9054,8967,28930,28621,27315,26607,25402,24413,23147,22804,17801,17503,16501,16007,15255,14554,13761,13557,14057,13762,12964,12340,11728,10905,10304,10169,33955,33446,31638,30625,29169,27826,26342,25859
4600301 Atzeneta d'Albaida distrito 01,11976,11776,11193,10721,10213,9567,9054,8967,28930,28621,27315,26607,25402,24413,23147,22804,17801,17503,16501,16007,15255,14554,13761,13557,14057,13762,12964,12340,11728,10905,10304,10169,33955,33446,31638,30625,29169,27826,26342,25859
4600301001 Atzeneta d'Albaida sección 01001,11976,11776,11193,10721,10213,9567,9054,8967,28930,28621,27315,26607,25402,24413,23147,22804,17801,17503,16501,16007,15255,14554,13761,13557,14057,13762,12964,12340,11728,10905,10304,10169,33955,33446,31638,30625,29169,27826,26342,25859
46004 Agullent,12236,11416,10768,10646,10094,9550,9367,9045,30661,28762,27573,27616,26176,24943,24393,23738,18276,17078,16265,16066,15190,14376,14096,13621,14451,13462,12643,12463,11759,11089,10924,10565,36211,33916,32374,32327,30492,28963,28447,27728
4600401 Agullent distrito 01,12236,11416,10768,10646,10094,9550,9367,9045,30661,28762,27573,27616,26176,24943,24393,23738,18276,17078,16265,16066,15190,14376,14096,13621,14451,13462,12643,12463,11759,11089,10924,10565,36211,33916,32374,32327,30492,28963,28447,27728
4600401001 Agullent sección 01001,12236,11416,10768,10646,10094,9550,9367,9045,30661,28762,27573,27616,26176,24943,24393,23738,18276,17078,16265,16066,15190,14376,14096,13621,14451,13462,12643,12463,11759,11089,10924,10565,36211,33916,32374,32327,30492,28963,28447,27728
46005 Alaquàs,12091,11410,10909,10762,10275,9668,9179,8870,30385,28588,27549,27283,26154,24507,23652,23008,17930,16929,16243,16098,15404,14491,13837,13364,14204,13309,12670,12479,11880,11149,10563,10208,35694,33346,31995,31636,30237,28260,27219,26477
4600501 Alaquàs distrito 01,12080,11427,10880,10731,10154,9625,9054,8736,29307,27541,26575,26327,25020,23524,22753,22263,17672,16701,15996,15825,15018,14200,13476,13015,14136,13285,12641,12425,11712,11061,10374,9982,34295,32018,30876,30482,28858,27032,26072,25438
4600501001 Alaquàs sección 01001,13329,12478,12025,11738,11156,10630,9939,9667,31463,29867,29017,28866,27296,25786,24751,24456,19408,18104,17539,17078,16241,15558,14832,14612,16217,14948,14140,13836,13046,12419,11608,11291,38282,35777,34121,34026,31921,30126,28905,28564
4600501002 Alaquàs sección 01002,14585,14132,13231,13659,12762,11903,11200,11481,37423,35478,32924,34148,32040,29786,28827,29742,22159,21157,20123,20430,19147,17911,17062,17224,17919,17337,16682,16726,15629,14526,13544,13868,45976,43522,41510,41814,39237,36349,34859,35927
4600501003 Alaquàs sección 01003,10721,10119,9943,9630,9222,8856,8386,8074,27404,25523,25165,24502,23004,21819,20870,20721,15812,14882,14673,14259,13800,12982,12409,11986,12186,11470,11299,10820,10374,9925,9401,9034,31150,28933,28597,27528,25878,24452,23396,23186
4600501004 Alaquàs sección 01004,13134,12546,11565,11525,10857,10258,9650,9399,32611,30070,29100,29141,28084,26592,25191,24373,19540,18606,17340,17726,16668,15913,14915,14366,15630,14912,13612,13710,12772,12023,11292,10902,38807,35741,34251,34665,33037,31169,29476,28271
4600501005 Alaquàs sección 01005,11961,11179,11057,10612,10113,9863,9135,8863,28627,26862,26479,25633,24348,22882,21986,21251,17243,16120,15950,15466,14731,14340,13181,12838,13977,12957,12880,12309,11726,11399,10458,10072,33451,31135,30843,29733,28233,26446,25170,24151
4600501006 Alaquàs sección 01006,11241,10520,9944,9845,9381,8756,8265,7667,26273,24085,23666,23066,22327,20502,20521,19861,16246,15253,14531,14315,13697,12521,12071,11255,12791,11899,11228,11137,10560,9790,9204,8535,29894,27242,26724,26093,25134,22922,22853,22108
4600501007 Alaquàs sección 01007,11382,10798,10206,10044,9411,8923,8418,8039,23924,22768,21865,21562,19959,19073,18709,18284,15697,14928,14266,14032,13021,12423,11897,11464,12892,12172,11415,11189,10456,9834,9313,8862,27099,25664,24456,24019,22175,21021,20700,20156
4600501008 Alaquàs sección 01008,10115,9623,9079,9109,8377,8013,7658,7241,21488,19630,18861,18771,17783,17362,17097,16307,14040,13396,12645,12712,11843,11263,10954,10270,11131,10484,9844,9895,9042,8627,8277,7780,23646,21386,20450,20390,19193,18691,18480,17523
4600501010 Alaquàs sección 01010,11910,11174,10586,10312,9808,9176,8667,8225,31563,30244,28904,28374,27267,25199,24403,23339,17710,16696,15869,15527,14828,13894,13224,12613,13862,12863,12169,11868,11249,10487,9900,9371,36737,34816,33226,32653,31274,28799,27873,26588
4600502 Alaquàs distrito 02,12515,11756,11240,11144,10674,9978,9508,9185,32194,30324,29183,29034,27864,25965,24912,24115,18764,17630,16871,16813,16136,15107,14442,13927,14896,13869,13166,13053,12462,11632,11077,10733,38320,35774,34186,34008,32531,30270,29022,28179
4600502001 Alaquàs sección 02001,11499,11071,10497,10329,10047,9673,9097,8492,27519,25958,24647,24160,23332,22285,21053,19462,16904,16080,15222,14959,14488,13949,13095,12156,13394,12846,12051,11891,11509,11107,10471,9963,32054,30121,28298,27814,26728,25587,24232,22834
4600502002 Alaquàs sección 02002,12991,11990,11563,11447,10889,10071,9550,9252,34024,32064,31084,30349,29233,27013,26286,25720,19443,18166,17544,17316,16739,15433,14689,14260,15421,14084,13488,13339,12684,11718,11059,10740,40388,37665,36260,35364,34054,31431,30438,29856
4600502003 Alaquàs sección 02003,11389,10768,10070,10029,9485,8808,8580,8260,30597,29313,28004,28162,26456,24912,24501,24137,17557,16533,15629,15633,14830,13897,13496,13055,13728,12596,11667,11582,10840,10060,9803,9407,36879,34289,32445,32522,30236,28452,27993,27489
4600502004 Alaquàs sección 02004,12444,11652,10956,10908,10464,9519,9164,8872,35304,33266,31687,31736,30471,27650,26463,25689,19075,17991,17071,17248,16501,15208,14610,14136,15000,13958,12997,12940,12345,11193,10743,10389,42553,39847,37590,37647,35949,32515,31023,30082
4600502005 Alaquàs sección 02005,12818,12103,11761,11757,11156,10583,9746,9387,34348,32253,31690,32381,31263,29509,27181,26587,19491,18312,17816,17895,17162,16070,15062,14540,15124,14240,13692,13710,12994,12323,11407,10905,40529,37949,36894,37759,36414,34363,31812,30887
4600502006 Alaquàs sección 02006,10760,10100,9734,9285,9040,8606,8316,8013,26688,25188,24276,23476,23156,21820,21484,20431,15896,14840,14201,13648,13342,12746,12333,11789,12192,11345,10895,10379,10229,9641,9295,8957,30239,28293,27171,26242,26202,24444,24013,22839
4600502007 Alaquàs sección 02007,15967,14675,14366,14407,13728,12922,12589,12746,36342,33579,32435,32429,30478,28253,27665,27372,23124,21315,20576,20748,19578,18387,18086,18099,19676,17949,17632,17630,16714,15752,15318,15606,44784,41070,39809,39682,37106,34440,33661,33514
4600503 Alaquàs distrito 03,11423,10816,10408,10175,9798,9227,8832,8565,29138,27390,26394,25908,25115,23641,22993,22367,16960,16110,15565,15314,14764,13905,13393,12974,13185,12426,11894,11609,11170,10489,10015,9700,33632,31466,30164,29558,28629,26874,26072,25330
4600503001 Alaquàs sección 03001,11528,11064,10450,10529,10239,9463,9157,8669,29775,28589,27311,26953,26321,24099,23673,22649,17040,16340,15499,15674,15130,13975,13491,12947,13192,12611,11877,11954,11687,10741,10377,9839,34073,32587,31043,30600,30043,27354,26827,25706
4600503002 Alaquàs sección 03002,10876,10444,10049,9706,9504,8925,8387,8237,26758,25071,24130,23391,23037,21145,20207,19763,16045,15341,14778,14283,14021,13097,12337,12100,12410,11846,11331,10938,10736,10066,9421,9208,30530,28434,27207,26361,26023,23849,22696,22091
4600503003 Alaquàs sección 03003,11228,10448,9901,9506,9212,8782,8408,8209,28930,26627,25344,24733,24166,22829,22328,21940,16607,15492,14675,14335,14102,13285,12763,12408,12886,11947,11303,10814,10492,9923,9493,9266,33201,30447,28934,28136,27524,25796,25207,24765
4600503004 Alaquàs sección 03004,11702,11008,10745,10569,10043,9422,9100,8994,28312,26516,25964,25499,24865,23346,23184,22813,17079,16099,15873,15489,14851,13901,13652,13483,13399,12511,12151,11931,11301,10600,10212,10144,32418,30137,29361,28785,27980,26266,26018,25729
4600503005 Alaquàs sección 03005,11587,10968,10617,10348,9883,9375,8960,8558,31236,29537,28435,28129,26644,25798,24739,23811,17579,16810,16322,16174,15321,14672,14108,13397,13645,12877,12367,12034,11444,10828,10322,9802,36785,34679,33123,32711,30852,29799,28499,27271
46006 Albaida,11402,11656,11540,11151,10457,9975,9628,9284,28854,29470,29333,28454,26851,25650,25143,24232,18143,17412,17124,16536,15583,14846,14332,13884,14693,13858,13730,13135,12349,11848,11425,11000,37181,35038,34900,33516,31708,30465,29837,28712
4600601 Albaida distrito 01,11402,11656,11540,11151,10457,9975,9628,9284,28854,29470,29333,28454,26851,25650,25143,24232,18143,17412,17124,16536,15583,14846,14332,13884,14693,13858,13730,13135,12349,11848,11425,11000,37181,35038,34900,33516,31708,30465,29837,28712
4600601001 Albaida sección 01001,10940,10157,9198,9048,8906,8371,7957,7962,27625,25722,22435,21833,21704,20557,20108,19935,16379,15114,13480,13295,13171,12342,11789,11780,12617,11680,10459,10222,9987,9435,8917,8943,31860,29580,25511,24666,24338,23170,22536,22391
4600601002 Albaida sección 01002,7588,12142,11622,11561,10814,10233,10472,9703,19094,30154,28974,28440,27505,25494,26215,23624,18237,17978,16997,16727,15755,14782,14979,14018,15929,14482,13647,13452,12574,11963,12281,11297,40081,35966,34022,33091,31982,29806,30743,27507
4600601003 Albaida sección 01003,13332,13032,16404,13120,12857,12284,11917,10723,32057,31256,39552,32217,31985,30265,30555,28486,19294,18883,23410,18847,18616,18033,17432,15970,16350,15843,21187,16368,16566,16371,15836,14313,39315,37997,51083,40193,41211,40334,40603,38021
4600601004 Albaida sección 01004,10539,9786,9036,9000,8582,7956,7896,7539,26271,24575,22569,23058,22054,20697,20559,19890,15885,14654,13524,13389,12776,11948,11764,11484,12053,11105,10187,10120,9640,8908,8871,8460,30044,27887,25441,25928,24776,23175,23097,22319
4600601005 Albaida sección 01005,12371,11915,11172,11158,10402,10516,9522,9090,31685,30370,28227,28063,25513,25623,23476,22166,18881,18339,17035,16945,15967,15858,14370,13726,14674,14046,13064,13065,12110,12272,11020,10511,37586,35802,33009,32857,29705,29901,27168,25631
4600601007 Albaida sección 01007,13648,13282,13533,13513,12049,11543,10844,10983,36538,35752,37379,37714,33590,32338,30891,31315,20422,19969,20206,20008,17901,17139,16295,16259,17004,16526,16657,16522,14762,14145,13331,13423,45521,44483,46010,46113,41154,39629,37976,38274
46007 Albal,12296,11621,11096,10868,10476,9894,9427,9047,32797,31068,29564,29079,28011,26457,25462,24434,18617,17692,16843,16647,16015,15145,14517,13911,14666,13764,13080,12862,12311,11625,11026,10548,39119,36799,34852,34414,32917,31086,29780,28488
4600701 Albal distrito 01,11681,11022,10603,10370,9817,9294,8865,8517,30884,29044,27963,27458,26108,24691,23967,22920,17632,16718,16040,15866,15000,14248,13708,13123,13738,12892,12363,12129,11428,10834,10258,9823,36325,33974,32607,32116,30392,28784,27733,26434
4600701001 Albal sección 01001,11174,10463,10067,10099,9442,8845,8489,8199,30218,27874,26412,26668,24882,23226,22739,21751,17060,15971,15312,15449,14469,13640,13163,12627,12990,12067,11541,11601,10826,10136,9659,9313,35131,32146,30279,30634,28530,26618,25873,24706
4600701002 Albal sección 01002,11297,10843,10042,9826,9591,9244,8761,8220,28812,27488,25536,25027,24550,24158,23497,21402,16716,16021,14863,14964,14295,13846,13196,12274,13215,12645,11651,11784,11107,10670,10090,9448,33706,32055,29628,30013,28431,27886,27061,24599
4600701003 Albal sección 01003,11977,11698,11547,10536,9557,9084,8437,8672,31208,29541,28769,26690,24536,23193,22539,23126,17912,17542,17267,15734,14431,13703,13136,13324,14019,13699,13466,12220,11157,10714,9840,10069,36529,34594,33551,30956,28643,27357,26290,26849
4600701004 Albal sección 01004,12833,11765,11461,11423,10816,10330,10048,9530,31063,29108,28480,28859,28015,26595,26236,24480,18852,17537,16977,17080,16387,15596,15210,14565,15090,13828,13407,13294,12621,12056,11711,11048,36524,34213,33314,33586,32688,31040,30578,28378
4600701005 Albal sección 01005,11268,10425,10270,10154,9526,9110,8649,8308,30048,28600,28202,27983,25883,24531,23427,22766,17170,16043,15681,15837,14745,13879,13354,12752,13297,12240,12043,11886,11132,10572,10002,9589,35460,33578,33071,32756,30246,28469,27092,26278
4600701006 Albal sección 01006,12311,11842,11258,10824,10506,9766,9461,8888,33990,32116,30968,29341,28863,26884,26256,24621,18630,18062,17194,16623,16061,15442,14916,13910,14765,14007,13415,12814,12431,11789,11150,10379,40764,37987,36901,34735,34150,32453,30944,28752
4600701007 Albal sección 01007,11648,10928,10383,10223,9723,9065,8564,8208,32421,30130,29347,28780,27457,25492,24244,23657,18040,16975,16139,15953,15218,14240,13574,13127,13766,12833,12091,11949,11347,10524,9898,9495,38318,35384,34174,33639,32045,29595,28020,27365
4600702 Albal distrito 02,13200,12434,11771,11545,11338,10622,10078,9639,35339,33500,31599,31069,30320,28638,27224,26189,19905,18938,17898,17700,17263,16187,15434,14765,15881,14893,14000,13849,13442,12571,11879,11337,42517,40124,37585,37269,35946,33893,32090,30801
4600702001 Albal sección 02001,14198,13729,12913,12294,12889,11383,11006,10264,36714,35306,33297,31510,32698,29620,28790,27008,21125,20592,19377,19067,19247,17197,16659,15357,17075,16506,15414,15174,15391,13554,13056,12134,44152,42447,39747,38892,39048,35268,34153,31929
4600702002 Albal sección 02002,13634,12996,12396,12089,11700,11387,10364,10470,34614,33541,31909,31380,29989,29440,27222,27284,20372,19624,18546,18172,17619,17064,15817,15968,16366,15480,14705,14294,13918,13437,12250,12370,41550,39950,37852,37103,35673,34740,32174,32234
4600702003 Albal sección 02003,11108,10252,9947,10129,9876,9326,8987,8362,29529,27354,26405,26761,25862,24631,23993,22750,16538,15471,15014,15186,14753,13931,13564,12758,12945,11884,11408,11669,11331,10806,10346,9653,34414,31708,30285,30828,29674,28541,27622,26262
4600702004 Albal sección 02004,12792,12069,11405,11389,10778,10342,9839,9430,36667,34509,32767,33054,31391,29789,28035,26716,19597,18702,17631,17691,16938,16207,15362,14706,15309,14476,13662,13626,12865,12339,11660,11119,43883,41391,39249,39547,37472,35542,33223,31501
4600702005 Albal sección 02005,14823,13305,12355,11879,11293,10678,9970,9558,40604,37795,34064,33008,31185,29890,27554,27227,22856,20651,19292,18385,17561,16537,15478,15072,18703,16494,15132,14557,13528,12700,11801,11259,51233,46855,41719,40447,37357,35551,32616,32074
4600703 Albal distrito 03,12926,12150,11754,11585,11121,10672,10208,9943,34381,32749,31065,30687,29466,27641,26485,25426,19779,18667,17832,17679,17129,16289,15615,15169,15679,14666,14164,13819,13190,12642,12152,11829,41704,39531,37435,36604,34948,32744,31528,30248
4600703001 Albal sección 03001,12926,12150,11754,11585,11121,10672,10208,9943,34381,32749,31065,30687,29466,27641,26485,25426,19779,18667,17832,17679,17129,16289,15615,15169,15679,14666,14164,13819,13190,12642,12152,11829,41704,39531,37435,36604,34948,32744,31528,30248
4600704 Albal distrito 04,10748,10666,10030,9786,9685,9246,9016,8665,30241,30275,28063,27936,27412,25873,25449,24958,16917,16464,15509,15097,15103,14488,14044,13574,13193,12543,11756,11454,11381,10867,10608,10085,37119,35603,32891,32696,32212,30410,29944,29050
4600704001 Albal sección 04001,10748,10666,10030,9786,9685,9246,9016,8665,30241,30275,28063,27936,27412,25873,25449,24958,16917,16464,15509,15097,15103,14488,14044,13574,13193,12543,11756,11454,11381,10867,10608,10085,37119,35603,32891,32696,32212,30410,29944,29050
46008 Albalat de la Ribera,11889,11128,11039,10789,10140,9480,9097,8676,28965,27400,26781,26436,24930,23440,22682,21361,17624,16681,16362,16102,15117,14194,13606,12874,13860,13050,12775,12485,11676,10903,10465,9927,33767,32134,30990,30591,28708,26960,26092,24440
4600801 Albalat de la Ribera distrito 01,11889,11128,11039,10789,10140,9480,9097,8676,28965,27400,26781,26436,24930,23440,22682,21361,17624,16681,16362,16102,15117,14194,13606,12874,13860,13050,12775,12485,11676,10903,10465,9927,33767,32134,30990,30591,28708,26960,26092,24440
4600801001 Albalat de la Ribera sección 01001,12275,11315,11292,11030,10634,9808,9275,8827,30170,27950,27355,26910,25875,24189,22840,21600,18430,17230,16888,16541,15963,14771,13878,13144,14433,13410,13210,12842,12343,11341,10698,10130,35476,33126,32000,31332,30033,27968,26344,24788
4600801002 Albalat de la Ribera sección 01002,11407,10899,10736,10499,9556,9095,8897,8503,27488,26729,26090,25860,23788,22559,22500,21084,16622,16012,15732,15572,14115,13517,13299,12566,13144,12609,12252,12055,10889,10391,10202,9694,31672,30923,29776,29692,27107,25774,25801,24036
46009 Albalat dels Sorells,14198,13560,12811,12716,11829,11133,10970,10679,36540,34601,33165,32713,30331,28529,27922,27037,21636,20629,19597,19456,18054,16955,16525,16133,17293,16372,15337,15283,14234,13258,12968,12555,44504,41776,39704,39317,36499,33974,33008,31785
4600901 Albalat dels Sorells distrito 01,14198,13560,12811,12716,11829,11133,10970,10679,36540,34601,33165,32713,30331,28529,27922,27037,21636,20629,19597,19456,18054,16955,16525,16133,17293,16372,15337,15283,14234,13258,12968,12555,44504,41776,39704,39317,36499,33974,33008,31785
4600901001 Albalat dels Sorells sección 01001,11580,10943,10310,10601,9633,9704,9391,8985,28516,26700,25832,26692,23582,24078,22718,21832,17088,16079,15341,15868,14459,14523,14104,13526,13363,12445,11697,12032,11060,11042,10641,10158,32908,30367,29306,30294,27075,27396,25742,24683
4600901002 Albalat dels Sorells sección 01002,15254,14567,13773,13442,12656,11420,11545,10982,39480,37692,36206,35017,32777,29571,29634,27784,23238,22246,21091,20666,19379,17293,17179,16508,18891,17815,16629,16383,15531,13723,13937,13018,48895,46098,43713,42679,40222,35534,35773,32934
4600901003 Albalat dels Sorells sección 01003,14827,14188,13418,13284,12367,11807,11544,11506,38850,36682,34970,34276,32234,30655,30160,29899,22866,21802,20718,20428,18946,18208,17543,17450,18228,17352,16282,16165,14954,14290,13735,13703,47760,44860,42434,41710,38978,37103,35885,35606
46010 Albalat dels Tarongers,14817,13529,12823,13704,13116,12119,11869,11975,33833,30582,28757,30538,29628,27101,26603,27095,22062,19757,18741,19922,19003,17584,17257,17551,18083,16317,15320,16406,15738,14410,14286,14483,41290,36882,34357,36560,35550,32223,32019,32771
4601001 Albalat dels Tarongers distrito 01,14817,13529,12823,13704,13116,12119,11869,11975,33833,30582,28757,30538,29628,27101,26603,27095,22062,19757,18741,19922,19003,17584,17257,17551,18083,16317,15320,16406,15738,14410,14286,14483,41290,36882,34357,36560,35550,32223,32019,32771
4601001001 Albalat dels Tarongers sección 01001,14817,13529,12823,13704,13116,12119,11869,11975,33833,30582,28757,30538,29628,27101,26603,27095,22062,19757,18741,19922,19003,17584,17257,17551,18083,16317,15320,16406,15738,14410,14286,14483,41290,36882,34357,36560,35550,32223,32019,32771
46011 Alberic,11295,10974,10698,10453,9747,9409,8789,8660,29043,28308,27524,27078,25365,24569,23384,22782,17161,16495,16042,15764,14708,14248,13368,13103,13494,12851,12491,12173,11312,10922,10164,9997,34698,33151,32137,31535,29437,28520,27044,26298
4601101 Alberic distrito 01,11295,10974,10698,10453,9747,9409,8789,8660,29043,28308,27524,27078,25365,24569,23384,22782,17161,16495,16042,15764,14708,14248,13368,13103,13494,12851,12491,12173,11312,10922,10164,9997,34698,33151,32137,31535,29437,28520,27044,26298
4601101001 Alberic sección 01001,9694,10104,9640,9461,8723,8031,7693,7611,23613,24784,24317,23191,21631,19842,20025,19777,15004,14851,14236,13965,12972,11887,11501,11217,11680,11463,10838,10685,9757,8923,8721,8424,28450,28117,27337,26190,24196,22046,22700,21890
4601101002 Alberic sección 01002,9088,8620,8229,8319,7529,7160,6863,6697,25208,23784,22746,23273,20864,19596,19171,18707,13771,13098,12664,12663,11483,10684,10294,9949,10173,9637,9151,9268,8287,7882,7606,7390,28218,26591,25295,25927,22966,21573,21246,20641
4601101003 Alberic sección 01003,11878,11732,10965,10767,10186,9871,9465,8846,29626,29086,27257,26757,25559,24948,24368,22878,17518,17360,16118,16004,15167,14853,14329,13317,13892,13646,12593,12395,11787,11422,10911,10175,34650,33833,31305,30804,29575,28870,28089,26317
4601101004 Alberic sección 01004,12270,11630,11745,11315,10766,11224,10424,9702,30461,29338,29567,29178,27675,28396,26531,25004,18225,17391,17540,17038,16343,17098,15854,14856,14875,13911,14078,13513,12795,13425,12291,11416,36928,35091,35441,34848,32889,33964,31283,29420
4601101005 Alberic sección 01005,10614,10454,10293,10084,9366,8638,8328,8042,26875,26716,26364,26508,24510,22719,22272,20860,16431,15726,15366,15184,13980,13036,12521,12113,12950,12149,11941,11721,10838,9920,9502,9180,32790,31047,30583,30812,28363,26090,25411,23814
4601101006 Alberic sección 01006,12331,11941,11813,11529,10676,10375,9393,9866,31245,30458,29758,28851,27345,26636,24784,25500,18864,17980,17628,17315,16079,15690,14458,15018,14763,14198,14010,13616,12578,12241,11062,11641,37406,36216,35292,34075,32216,31428,29189,30087
4601101007 Alberic sección 01007,11000,10576,10326,9971,9338,8961,8240,8216,30176,28848,27823,27260,25340,24883,22985,22493,16936,16165,15855,15404,14364,13844,12673,12565,13279,12418,12148,11607,10808,10380,9505,9450,36430,33874,32734,31735,29330,28822,26512,25870
46012 Alborache,13396,12101,11575,11516,10853,10442,9667,9789,30794,27681,27096,26788,25094,23878,22730,23044,19685,17560,17125,16925,15918,15223,14236,14436,16075,14243,13480,13437,12708,12191,11280,11393,36954,32580,31555,31255,29384,27875,26521,26819
4601201 Alborache distrito 01,13396,12101,11575,11516,10853,10442,9667,9789,30794,27681,27096,26788,25094,23878,22730,23044,19685,17560,17125,16925,15918,15223,14236,14436,16075,14243,13480,13437,12708,12191,11280,11393,36954,32580,31555,31255,29384,27875,26521,26819
4601201001 Alborache sección 01001,13396,12101,11575,11516,10853,10442,9667,9789,30794,27681,27096,26788,25094,23878,22730,23044,19685,17560,17125,16925,15918,15223,14236,14436,16075,14243,13480,13437,12708,12191,11280,11393,36954,32580,31555,31255,29384,27875,26521,26819
46013 Alboraia/Alboraya,16132,15269,14788,14491,13671,13236,12571,12421,41445,38904,37856,37334,35259,34249,33137,32116,24288,22953,22175,21861,20687,20027,19169,18821,20379,19192,18402,18101,16943,16363,15506,15229,52358,48901,47107,46636,43699,42342,40874,39376
4601301 Alboraia/Alboraya distrito 01,16132,15269,14788,14491,13671,13236,12571,12421,41445,38904,37856,37334,35259,34249,33137,32116,24288,22953,22175,21861,20687,20027,19169,18821,20379,19192,18402,18101,16943,16363,15506,15229,52358,48901,47107,46636,43699,42342,40874,39376
4601301001 Alboraia/Alboraya sección 01001,14165,13393,12911,12499,12034,11650,11208,10934,35613,33555,32468,31283,30371,29633,28527,27728,21078,20028,19215,18602,17960,17509,16941,16304,17337,16297,15548,15065,14337,13804,13321,12930,43589,40829,39098,37703,36185,35112,33903,32790
4601301002 Alboraia/Alboraya sección 01002,14396,14040,13463,13281,13085,12525,12149,12108,38794,37429,36200,35887,35199,33566,32935,32513,22045,21434,20694,20539,20039,19082,18585,18585,17621,17140,16290,16051,15854,15120,14642,14448,47487,45693,43803,43372,42649,40522,39692,38796
4601301003 Alboraia/Alboraya sección 01003,14011,13274,12748,12293,11764,10975,10583,10294,35699,33870,32411,30852,29918,28032,27520,26161,21128,19927,19108,18432,17671,16744,15924,15371,16936,15973,15142,14498,13911,12921,12412,12081,43151,40758,38498,36387,35378,33001,32274,30705
4601301004 Alboraia/Alboraya sección 01004,15714,15213,14537,14388,13799,13146,12445,12259,42909,41244,39603,40032,38620,36759,35715,35175,23788,22965,21998,21998,21314,20465,19395,19364,19594,18915,17878,17697,17051,16128,15187,14939,53505,51281,48705,49238,47722,45097,43583,42864
4601301005 Alboraia/Alboraya sección 01005,13188,12559,12075,11769,11147,10461,10078,9817,34934,32988,31662,31196,29578,27627,26424,25868,20144,19324,18456,18138,17250,16163,15601,15144,16020,15160,14474,14138,13264,12420,11927,11570,42434,39820,37952,37476,35195,32800,31274,30489
4601301006 Alboraia/Alboraya sección 01006,15022,13719,13722,13263,12696,11876,11944,11451,42633,38436,38388,37116,35643,33395,34272,31951,23522,21308,21395,20722,19944,18704,18916,17991,18729,17046,16971,16445,15620,14544,14709,13991,53151,47754,47477,46019,43850,40896,42204,39038
4601301007 Alboraia/Alboraya sección 01007,16079,15423,14904,14287,14051,13679,13073,12676,36449,34400,33915,32838,31730,31387,32083,29547,23387,22530,21810,20841,20511,20155,19798,18920,20273,19585,18518,17785,17414,17249,16516,15630,45957,43683,42139,40878,39324,39577,40531,36431
4601301008 Alboraia/Alboraya sección 01008,16150,15073,15019,14430,13569,12265,12082,11720,43660,40293,39478,38808,37046,33979,33829,32680,24367,22973,22478,21621,20235,18663,18306,17568,20018,18746,18411,18097,16680,15056,14835,14436,54118,50112,48394,48672,45538,41710,41538,40252
4601301009 Alboraia/Alboraya sección 01009,13322,12560,12051,11851,11128,10704,10251,10302,34713,32716,32266,32470,30534,29134,28329,27927,19878,18843,18185,18043,16944,16326,15698,15938,16020,15035,14408,14305,13291,12792,12172,12280,41744,39165,38577,39195,36468,34817,33639,33289
4601301010 Alboraia/Alboraya sección 01010,15861,14578,13775,13475,12612,12039,11526,11268,42998,38936,37907,37319,34853,34024,32882,31594,24035,22005,21077,20700,19603,18762,18001,17665,19917,18050,16897,16396,15288,14504,13866,13589,53995,48209,46498,45409,42249,40990,39557,38101
